id,created_on,last_edit,name,skill_cat_id
133,"2024-10-16 14:12:51.837780","2024-10-16 14:12:51.837789","시장조사",13
134,"2024-10-16 14:12:51.838646","2024-10-16 14:12:51.838654","전략기획",13
135,"2024-10-16 14:12:51.839517","2024-10-16 14:12:51.839526","설문조사",13
136,"2024-10-16 14:12:51.851804","2024-10-16 14:12:51.851813",Flutter,16
137,"2024-10-16 14:12:51.854130","2024-10-16 14:12:51.854138",datadog,13
138,"2024-10-16 14:12:51.858855","2024-10-16 14:12:51.858863",jsp,13
139,"2024-10-16 14:12:51.861142","2024-10-16 14:12:51.861150",Javascript,1
140,"2024-10-16 14:12:51.863246","2024-10-16 14:12:51.863255",Vue.js,9
141,"2024-10-16 14:12:51.866312","2024-10-16 14:12:51.866320","로봇",13
142,"2024-10-16 14:12:51.867208","2024-10-16 14:12:51.867217","하드웨어",13
143,"2024-10-16 14:12:51.868101","2024-10-16 14:12:51.868109",hw,13
144,"2024-10-16 14:12:51.868976","2024-10-16 14:12:51.868984","무선통신",13
145,"2024-10-16 14:12:51.869861","2024-10-16 14:12:51.869869","해양로봇",13
146,"2024-10-16 14:12:51.874828","2024-10-16 14:12:51.874836","보안",13
147,"2024-10-16 14:12:51.875698","2024-10-16 14:12:51.875707","정보보안",13
148,"2024-10-16 14:12:51.876566","2024-10-16 14:12:51.876575",RAAS,13
149,"2024-10-16 14:12:51.877437","2024-10-16 14:12:51.877445",Ecosystem,13
150,"2024-10-16 14:12:51.881660","2024-10-16 14:12:51.881669",webpack,13
151,"2024-10-16 14:12:51.883243","2024-10-16 14:12:51.883252",babel,13
152,"2024-10-16 14:12:51.884119","2024-10-16 14:12:51.884127",emotion,13
153,"2024-10-16 14:12:51.884995","2024-10-16 14:12:51.885003",jotai,13
154,"2024-10-16 14:12:51.885852","2024-10-16 14:12:51.885860",Turborepo,13
155,"2024-10-16 14:12:51.886712","2024-10-16 14:12:51.886720",ESBuild,13
156,"2024-10-16 14:12:51.887564","2024-10-16 14:12:51.887577",SWC,13
157,"2024-10-16 14:12:51.891828","2024-10-16 14:12:51.891836",CSS,8
158,"2024-10-16 14:12:51.892688","2024-10-16 14:12:51.892696",Slack,11
159,"2024-10-16 14:12:51.894261","2024-10-16 14:12:51.894270",nuxt,13
160,"2024-10-16 14:12:51.895827","2024-10-16 14:12:51.895836",Notion,11
161,"2024-10-16 14:12:51.896697","2024-10-16 14:12:51.896706","아사나",13
162,"2024-10-16 14:12:51.900241","2024-10-16 14:12:51.900250",API,13
163,"2024-10-16 14:12:51.901141","2024-10-16 14:12:51.901149","trouble shooting",13
164,"2024-10-16 14:12:51.902009","2024-10-16 14:12:51.902018",apm,13
165,"2024-10-16 14:12:51.902871","2024-10-16 14:12:51.902879",ECS,13
166,"2024-10-16 14:12:51.903743","2024-10-16 14:12:51.903751","AWS EC2",2
167,"2024-10-16 14:12:51.906727","2024-10-16 14:12:51.906735","교육",13
168,"2024-10-16 14:12:51.907620","2024-10-16 14:12:51.907628","기술지원",13
169,"2024-10-16 14:12:51.908503","2024-10-16 14:12:51.908511","이슈관리",13
170,"2024-10-16 14:12:51.913510","2024-10-16 14:12:51.913518",shell,13
171,"2024-10-16 14:12:51.915109","2024-10-16 14:12:51.915118","Verilog HDL",13
172,"2024-10-16 14:12:51.915984","2024-10-16 14:12:51.915992",AMBA,13
173,"2024-10-16 14:12:51.916849","2024-10-16 14:12:51.916858",TileLink,13
174,"2024-10-16 14:12:51.917739","2024-10-16 14:12:51.917748",Wishbone,13
175,"2024-10-16 14:12:51.925172","2024-10-16 14:12:51.925180","컨설팅",13
176,"2024-10-16 14:12:51.927548","2024-10-16 14:12:51.927557","보안컨설팅",13
177,"2024-10-16 14:12:51.946751","2024-10-16 14:12:51.946760",SAP,13
178,"2024-10-16 14:12:51.948397","2024-10-16 14:12:51.948405",ERP,13
179,"2024-10-16 14:12:51.949277","2024-10-16 14:12:51.949286",CPA,13
180,"2024-10-16 14:12:51.950155","2024-10-16 14:12:51.950163",aicpa,13
181,"2024-10-16 14:12:51.957831","2024-10-16 14:12:51.957839",zustand,13
182,"2024-10-16 14:12:51.961181","2024-10-16 14:12:51.961190",Django,9
183,"2024-10-16 14:12:51.966795","2024-10-16 14:12:51.966803",AngularJS,9
184,"2024-10-16 14:12:51.968393","2024-10-16 14:12:51.968402",Framework,13
185,"2024-10-16 14:12:51.969946","2024-10-16 14:12:51.969954",TMS,13
186,"2024-10-16 14:12:51.971507","2024-10-16 14:12:51.971518",DEVELOPER,13
187,"2024-10-16 14:12:51.972382","2024-10-16 14:12:51.972390",nextjs,13
188,"2024-10-16 14:12:51.975730","2024-10-16 14:12:51.975738",jpa,13
189,"2024-10-16 14:12:51.986089","2024-10-16 14:12:51.986098","CI/CD구축",13
190,"2024-10-16 14:12:51.989461","2024-10-16 14:12:51.989470","회로설계",13
191,"2024-10-16 14:12:51.995679","2024-10-16 14:12:51.995688",SDK,13
192,"2024-10-16 14:12:51.996561","2024-10-16 14:12:51.996569",MarvelousDesigner,13
193,"2024-10-16 14:12:52.000116","2024-10-16 14:12:52.000125",Swift,1
194,"2024-10-16 14:12:52.000985","2024-10-16 14:12:52.000994","프로젝트관리",13
195,"2024-10-16 14:12:52.001851","2024-10-16 14:12:52.001859",b2c,13
196,"2024-10-16 14:12:52.002712","2024-10-16 14:12:52.002721",B2B,13
197,"2024-10-16 14:12:52.003733","2024-10-16 14:12:52.003742",C,17
198,"2024-10-16 14:12:52.004596","2024-10-16 14:12:52.004605",iOS,16
199,"2024-10-16 14:12:52.005517","2024-10-16 14:12:52.005525","어플리케이션 개발",13
200,"2024-10-16 14:12:52.008795","2024-10-16 14:12:52.008804","웹개발",13
201,"2024-10-16 14:12:52.011800","2024-10-16 14:12:52.011808",Redux,13
202,"2024-10-16 14:12:52.012654","2024-10-16 14:12:52.012663",Svelte,13
203,"2024-10-16 14:12:52.018479","2024-10-16 14:12:52.018487","안드로이드",13
204,"2024-10-16 14:12:52.020078","2024-10-16 14:12:52.020086","아키텍쳐",13
205,"2024-10-16 14:12:52.020938","2024-10-16 14:12:52.020947","서비스개발",13
206,"2024-10-16 14:12:52.027340","2024-10-16 14:12:52.027348","임베디드",13
207,"2024-10-16 14:12:52.028218","2024-10-16 14:12:52.028226","라이다",13
208,"2024-10-16 14:12:52.029080","2024-10-16 14:12:52.029089","ARM Based SoC",13
209,"2024-10-16 14:12:52.031725","2024-10-16 14:12:52.031734",Engineering,13
210,"2024-10-16 14:12:52.034038","2024-10-16 14:12:52.034047",video,13
211,"2024-10-16 14:12:52.043642","2024-10-16 14:12:52.043650",ABAP,13
212,"2024-10-16 14:12:52.044519","2024-10-16 14:12:52.044528",UI5,13
213,"2024-10-16 14:12:52.045377","2024-10-16 14:12:52.045385",fiori,13
214,"2024-10-16 14:12:52.046248","2024-10-16 14:12:52.046256","SAP UI5",13
215,"2024-10-16 14:12:52.047112","2024-10-16 14:12:52.047120","sap certification",13
216,"2024-10-16 14:12:52.048002","2024-10-16 14:12:52.048010",OData,13
217,"2024-10-16 14:12:52.050796","2024-10-16 14:12:52.050805","Project Manager",13
218,"2024-10-16 14:12:52.051680","2024-10-16 14:12:52.051689","소프트웨어개발",13
219,"2024-10-16 14:12:52.052583","2024-10-16 14:12:52.052591","프로젝트 기획",13
220,"2024-10-16 14:12:52.053469","2024-10-16 14:12:52.053478","외국어(영어)",13
221,"2024-10-16 14:12:52.060350","2024-10-16 14:12:52.060358",Redis,4
222,"2024-10-16 14:12:52.061224","2024-10-16 14:12:52.061235",s3,13
223,"2024-10-16 14:12:52.062093","2024-10-16 14:12:52.062101",FastAPI,13
224,"2024-10-16 14:12:52.070816","2024-10-16 14:12:52.070825",SQL,18
225,"2024-10-16 14:12:52.072452","2024-10-16 14:12:52.072461","클라우드",13
226,"2024-10-16 14:12:52.073327","2024-10-16 14:12:52.073336",maria,13
227,"2024-10-16 14:12:52.074216","2024-10-16 14:12:52.074225","maria db",13
228,"2024-10-16 14:12:52.075089","2024-10-16 14:12:52.075098",DTC,13
229,"2024-10-16 14:12:52.094316","2024-10-16 14:12:52.094324",scala,13
230,"2024-10-16 14:12:52.099104","2024-10-16 14:12:52.099112",Jenkins,14
231,"2024-10-16 14:12:52.109583","2024-10-16 14:12:52.109592",TCP/IP,7
232,"2024-10-16 14:12:52.110457","2024-10-16 14:12:52.110466","보안운영",13
233,"2024-10-16 14:12:52.111335","2024-10-16 14:12:52.111344","장애처리",13
234,"2024-10-16 14:12:52.112939","2024-10-16 14:12:52.112948","센서개발",13
235,"2024-10-16 14:12:52.117796","2024-10-16 14:12:52.117804",matlab,13
236,"2024-10-16 14:12:52.121202","2024-10-16 14:12:52.121211","네트워크",13
237,"2024-10-16 14:12:52.122072","2024-10-16 14:12:52.122080","유지보수",13
238,"2024-10-16 14:12:52.122950","2024-10-16 14:12:52.122958","솔루션개발",13
239,"2024-10-16 14:12:52.124549","2024-10-16 14:12:52.124557","소켓프로그래밍",13
240,"2024-10-16 14:12:52.125408","2024-10-16 14:12:52.125416",MacOS,13
241,"2024-10-16 14:12:52.130443","2024-10-16 14:12:52.130451","보안감사",13
242,"2024-10-16 14:12:52.139451","2024-10-16 14:12:52.139459","테스트",13
243,"2024-10-16 14:12:52.145793","2024-10-16 14:12:52.145802",database,13
244,"2024-10-16 14:12:52.150486","2024-10-16 14:12:52.150494","테스트 자동화",13
245,"2024-10-16 14:12:52.151377","2024-10-16 14:12:52.151385","비지니스영어",13
246,"2024-10-16 14:12:52.157020","2024-10-16 14:12:52.157029","html css javascript",13
247,"2024-10-16 14:12:52.164058","2024-10-16 14:12:52.164067",soc,13
248,"2024-10-16 14:12:52.164957","2024-10-16 14:12:52.164966","최적화",13
249,"2024-10-16 14:12:52.167283","2024-10-16 14:12:52.167291","자율주행",13
250,"2024-10-16 14:12:52.168152","2024-10-16 14:12:52.168160","플랫폼개발",13
251,"2024-10-16 14:12:52.169026","2024-10-16 14:12:52.169034","디버깅",13
252,"2024-10-16 14:12:52.182915","2024-10-16 14:12:52.182923",R&D,13
253,"2024-10-16 14:12:52.183803","2024-10-16 14:12:52.183811","device driver",13
254,"2024-10-16 14:12:52.184674","2024-10-16 14:12:52.184682","연구 개발 R&D",13
