id,created_on,last_edit,link,title,experience_level,is_new,deadline,collected_on,company_id,platform_id
77,"2024-10-16 14:12:51.748514","2024-10-16 14:25:13.199735",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284110,"데이터 엔지니어","경력무관",0,"2025-01-12 00:00:00","2024-10-15 00:00:00",48,2
78,"2024-10-16 14:12:51.756178","2024-10-16 14:25:13.165085",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1283956,"[외국인 채용] VoC 데이터분석(신입/경력)","경력무관",0,"2024-10-21 00:00:00","2024-10-15 00:00:00",49,2
79,"2024-10-16 14:12:51.759544","2024-10-16 14:25:13.155103",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1269546,"Sr. Analyst/Manager of Program Risk Management","경력",0,"2025-01-27 00:00:00","2024-10-15 00:00:00",50,2
80,"2024-10-16 14:12:51.768595","2024-10-16 14:25:13.175415",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1267923,"GA/AA데이터 분석(사원대리과장급)","경력",0,"2025-01-13 00:00:00","2024-10-15 00:00:00",51,2
81,"2024-10-16 14:12:51.783086","2024-10-16 14:25:13.131671",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1283871,"데이터분석(태깅)","경력",0,"2024-12-29 00:00:00","2024-10-15 00:00:00",51,2
82,"2024-10-16 14:12:51.786765","2024-10-16 14:25:13.188067",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1274331,"Data Analyst","경력",0,"2024-11-03 00:00:00","2024-10-15 00:00:00",52,2
83,"2024-10-16 14:12:51.792483","2024-10-16 14:25:13.194243",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1283068,"[미리디] 데이터 엔지니어","경력",0,"2024-12-02 00:00:00","2024-10-15 00:00:00",53,2
84,"2024-10-16 14:12:51.796997","2024-10-16 14:25:13.148969",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284003,"[쿠팡] 데이터 분석 & 테스트 PM","경력",0,"2024-10-31 00:00:00","2024-10-15 00:00:00",54,2
85,"2024-10-16 14:12:51.802250","2024-10-16 14:25:13.167890",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284022,"[쿠팡] 물류 기획 데이터 담당자 (Capacity Strategy)","경력",0,"2024-10-31 00:00:00","2024-10-15 00:00:00",54,2
86,"2024-10-16 14:12:51.809054","2024-10-16 14:25:13.208371",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284023,"[쿠팡] 로지스틱스 프로세스 개선 담당자 (Logistics Excellence Innovation)","경력",0,"2024-10-31 00:00:00","2024-10-15 00:00:00",54,2
